"entity_id","rapm","rapm_loess","rapm_blended","rapm_error","model_date","circuit","season","round","overall_round","dev_ratio"
"alonso-d",-0.0584369467401859,-0.0584369467401859,-0.0584369467401859,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"button-d",-0.194374301880275,-0.194374301880275,-0.194374301880275,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"glock-d",0.0893480807011127,0.0893480807011127,0.0893480807011127,0.0232386910416173,2012-03-18,"albert_park",2012,1,859,NA
"hamilton-d",-0.121626246713879,-0.121626246713879,-0.121626246713879,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"kobayashi-d",-0.0250706084691502,-0.0250706084691502,-0.0250706084691502,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"perez-d",0.0476774354866369,0.0476774354866369,0.0476774354866369,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"pic-d",0.0512051761790771,0.0512051761790771,0.0512051761790771,0.0116272279553944,2012-03-18,"albert_park",2012,1,859,NA
"raikkonen-d",0.0117078885897754,0.0117078885897754,0.0117078885897754,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"resta-d",0.116925116188395,0.116925116188395,0.116925116188395,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"ricciardo-d",0.0773494718149018,0.0773494718149018,0.0773494718149018,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"rosberg-d",0.127730124396393,0.127730124396393,0.127730124396393,0.0464144506824333,2012-03-18,"albert_park",2012,1,859,NA
"vergne-d",0.125844173716555,0.125844173716555,0.125844173716555,0.057978811058343,2012-03-18,"albert_park",2012,1,859,NA
"vettel-d",-0.16051358044842,-0.16051358044842,-0.16051358044842,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"webber-d",-0.0877655307134056,-0.0877655307134056,-0.0877655307134056,0.0695275342083006,2012-03-18,"albert_park",2012,1,859,NA
"bruno_senna-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"hulkenberg-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"karthikeyan-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"kovalainen-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"massa-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"michael_schumacher-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"petrov-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"rosa-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"grosjean-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"maldonado-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"ambrosio-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"bottas-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"chilton-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"garde-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"gutierrez-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"jules_bianchi-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"sutil-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"kevin_magnussen-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"kvyat-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"ericsson-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"stevens-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"nasr-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"sainz-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"max_verstappen-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"merhi-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"rossi-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"jolyon_palmer-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"wehrlein-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"haryanto-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"vandoorne-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"ocon-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"giovinazzi-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"stroll-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"gasly-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"brendon_hartley-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"leclerc-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"sirotkin-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"albon-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"kubica-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"norris-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"russell-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"latifi-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"aitken-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"pietro_fittipaldi-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"mick_schumacher-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
"tsunoda-d",0,0,0,0,2012-03-18,"albert_park",2012,1,859,NA
